CHEM_COMP_ID,Total Molweight,cLogP,H-Acceptors,H-Donors,Druglikeness,Rings
SU0,388.399,1.1101,8.0,2.0,-3.3861,3.0
SU0,388.399,1.1101,8.0,2.0,-3.3861,3.0
TRI,69.0668,-0.5705,3.0,1.0,1.5002,1.0
X0T,254.245,-1.4165,8.0,2.0,4.4457,2.0
CBL,304.216,3.2192,3.0,1.0,-1.5196,1.0
MPT,106.145,0.0881,2.0,1.0,-8.2437,0.0
8CL,112.559,2.2656,0.0,0.0,-2.0851,1.0
617,305.716,2.4731,5.0,2.0,0.73698,2.0
245,247.68400000000003,2.5035,4.0,2.0,0.068126,2.0
ETY,122.166,2.0734,1.0,1.0,-2.4802,1.0
LPB,206.329,2.6294,2.0,1.0,-9.4356,1.0
LEU,131.174,-1.864,3.0,2.0,-16.969,0.0
X8Z,217.28799999999998,0.366,4.0,1.0,-0.9568399999999999,1.0
3NF,223.227,0.2401,5.0,3.0,-13.619000000000002,1.0
B21,218.207,2.0136,4.0,1.0,0.33408000000000004,2.0
AAC,117.104,-1.2154,4.0,2.0,-1.1482,0.0
8AC,159.22799999999998,-0.624,3.0,2.0,-16.722,0.0
2BR,173.00900000000001,2.0391,1.0,1.0,-4.0621,1.0
791,180.15900000000002,0.294,4.0,2.0,-5.0022,1.0
LOC,399.44199999999995,1.8630000000000002,7.0,1.0,1.024,3.0
IPB,150.22,2.8448,1.0,1.0,-2.3359,1.0
MOA,320.34,2.2969999999999997,6.0,2.0,-0.61321,2.0
TOR,339.36400000000003,-0.9727,9.0,1.0,-2.4806,3.0
OCA,144.213,2.4273,2.0,1.0,-25.323,0.0
OAM,286.342,-0.8831,8.0,1.0,7.3988,3.0
AXC,346.417,2.6815,6.0,1.0,3.179,5.0
HE2,102.176,1.8681,1.0,1.0,-19.396,0.0
MET,149.213,-2.3875,3.0,2.0,-13.321,0.0
IJZ,171.112,-2.546,7.0,4.0,-0.98277,1.0
CCM,128.17,1.0345,2.0,1.0,-3.7275,1.0
ZIT,748.992,1.6569,14.0,5.0,13.854000000000001,2.0
PYR,88.0618,-0.8977,3.0,1.0,-4.84,0.0
DQN,164.203,1.8452,2.0,0.0,-2.54,1.0
PPI,74.0786,0.1553,2.0,1.0,-1.5364,0.0
MRE,269.303,3.2433,5.0,1.0,-4.3722,2.0
MPX,329.44800000000004,-0.8285,7.0,3.0,7.5044,2.0
CT5,352.389,3.4074,6.0,3.0,-5.1955,4.0
GHP,167.16299999999998,-2.3976,4.0,3.0,-6.9543,1.0
TSS,160.219,1.1340000000000001,2.0,2.0,-0.40614,2.0
FSB,308.332,1.3813,5.0,2.0,2.0966,2.0
24B,144.12,1.2639,1.0,1.0,-3.5856,1.0
IDM,119.166,1.3351,1.0,1.0,0.19917,2.0
HYN,100.07700000000001,-1.1157,4.0,2.0,2.68,1.0
SHH,264.324,2.299,5.0,3.0,-7.6209,1.0
ES2,167.595,1.3749,2.0,1.0,1.015,2.0
278,110.15899999999999,-0.4262,2.0,1.0,2.0568,1.0
ENO,180.15900000000002,0.1985,4.0,2.0,-9.8872,1.0
SET,104.109,-2.5888,4.0,3.0,-5.0746,0.0
