"CHEM_COMP_ID","SMILES"
"SM1","CC(N)=O"
"SM1","NCC=O"
"244","c1ccoc1"
"244","c1ccccc1"
"SM1","c1ccccc1"
"SM1","CNS(=O)(=O)Cc1ccccc1"
"NVV","c1ccccc1"
"9UO","c1ccncc1"
"80R","c1ccc2[nH]cnc2c1"
"DPY","O=P(O)(O)O"
"DPY","c1ccncc1"
"S79","c1ccc2[nH]cnc2c1"
"NVV","c1cncnc1"
"S79","c1c[nH]cn1"
"NVV","c1ccc2ncncc2c1"
"2IB","c1ccccc1"
"JFV","c1ccccc1"
"514","CC(N)=O"
"9L4","CC(N)=O"
"9L4","c1ccc2[nH]cnc2c1"
"9L4","C1CCCCC1"
"9L4","c1c[nH]cn1"
"51D","c1ccccc1"
"9L4","NCC=O"
"GUP","OC1CCCCO1"
"51D","c1cn[nH]c1"
"51D","c1cncnc1"
"514","c1ccccc1"
"215","c1c[nH]cn1"
"215","c1ccccc1"
"B91","Nc1ncnc2nc[nH]c12"
"215","c1ccncc1"
"2CR","C1CCCC1"
"77T","c1ccccc1"
"B91","CC(N)=O"
"B91","C1CC1"
"B91","c1c[nH]cn1"
"B91","c1ccccc1"
"B91","c1ncc2[nH]cnc2n1"
"B91","c1cncnc1"
"9EB","CC(N)=O"
"9L4","c1ccccc1"
"9L4","CNCCC1CCCCC1"
"BT2","c1ccc2sccc2c1"
"BT2","c1ccccc1"
"0NP","c1cncnc1"
"TL1","c1ccccc1"
"7X5","c1ccccc1"
"BT2","c1ccsc1"
"D5E","C1CCCCC1"
"7X5","c1cncnc1"
"7X5","CS(=O)c1cccc(N)c1"
"7X5","CNc1ncccn1"
"D5E","OC1CCCCO1"
"ZYX","c1ccccc1"
"9EB","c1ccccc1"
"535","c1c[nH]cn1"
"535","c1cscn1"
"CX9","c1cncnc1"
"S79","c1ccc2ccccc2c1"
"S79","c1ccccc1"
"W72","CN1CCC[C@@H]1CO"
"8JL","c1ccc2ccccc2c1"
"8JL","c1ccccc1"
"S79","c1cncnc1"
"S79","c1ccc2ncncc2c1"
"77M","CC(N)=O"
"LLF","O=P(O)(O)O"
"LLF","c1ccncc1"
"455","CC(N)=O"
"77M","c1ccccc1"
"B7H","CC(N)=O"
"455","c1ccccc1"
"B7H","c1ccccc1"
"455","c1ccncc1"
"B7H","c1cn[nH]c1"
"B7H","CC(C)(C(N)=O)c1ccccc1"
"CK6","c1ccccc1"
"CK6","c1cncnc1"
"CK6","c1cscn1"
"CK6","CNc1ncccn1"
"RWJ","CC(N)=O"
"6X7","c1ccccc1"
"355","CC(N)=O"
"X2A","CC(N)=O"
"355","C1CCCCC1"
"355","c1ccccc1"
"RWJ","c1ccc2scnc2c1"
"RWJ","C1CCCC1"
"RWJ","NCC=O"
"X2A","C1CCC1"
"X2A","c1ccccc1"
"X2A","CCN(C)C(=O)c1cccc(N)c1"
"X2A","COCC(=O)Nc1ccccc1"
"RWJ","c1ccccc1"
"RWJ","c1cscn1"
"TV2","c1ccccc1"
"TV2","c1cncnc1"
"355","c1ccncc1"
"355","c1cncnc1"
"TV2","c1ccc2ncncc2c1"
"3B3","c1ccccc1"
"355","c1ccc2ncncc2c1"
"C93","c1ccccc1"
"DBD","CC(N)=O"
"DBD","NCC=O"
"DBD","c1ccccc1"
"JLS","CC(N)=O"
"DBD","c1ccsc1"
"DBD","CC(=O)Nc1cc(C)c(C)s1"
"3B3","c1ccncc1"
"JLS","OC1CCCCO1"
"GH7","OC1CCCO1"
"7BJ","O=C1CNC(=O)N1"
"7BJ","CC(N)=O"
"XJ8","CC(N)=O"
"XJ8","NCC=O"
"7BJ","C1CCCCC1"
"XJ8","c1ccccc1"
"XJ8","c1ccncc1"
"3B3","c1ccc2ncccc2c1"
"CML","NCC=O"
"7BJ","NCC=O"
"XJ8","c1ccc2ncccc2c1"
"A96","CC(N)=O"
"A96","c1cnoc1"
"A96","c1ccccc1"
"IBF","c1ccccc1"
"GH7","NCC=O"
