CHEM_COMP_ID,Total Molweight,cLogP,H-Acceptors,H-Donors,Druglikeness,Rings
ZZZ,195.181,-2.5272,7,4,1.322,2
ZZY,346.322,-0.7625,9,1,-5.2566,3
ZZX,461.88,1.5847,9,2,8.4262,4
ZZW,335.337,2.6308,5,2,0.73,4
ZZV,415.444,1.2663,7,1,5.4555,4
ZZU,190.202,-4.4595,7,6,-2.0895,0
ZZT,137.181,1.2562,2,1,-1.7702,1
ZZS,111.108,-0.6429,5,2,-1.9084,1
ZZR,140.13,-1.9227,7,4,0.84984,2
ZZR,138.114,-0.94,7,2,0.28227,2
ZZQ,473.556,3.015,8,1,-0.80062,5
ZZP,454.481,2.6298,8,1,-0.20432,4
ZZO,507.528,3.4416,9,2,2.7838,6
ZZN,507.528,3.4416,9,2,2.7838,6
ZZM,278.318,1.4131,6,1,-1.3168,3
ZZL,476.869,5.0379,6,2,-0.73746,5
ZZK,333.346,2.8499,6,2,-0.71123,4
ZZJ,102.136,-1.3106,3,2,0.9332,0
ZZI,219.28,-0.419,5,3,4.6515,0
ZZH,332.398,4.3367,3,1,-1.9735,3
ZZG,458.516,4.3073,8,1,-0.91701,4
ZZF,370.432,2.495,7,2,1.8765,3
ZZE,310.356,1.745,6,1,-0.39594,2
ZZD,363.48,1.4958,3,2,-5.3815,3
ZZC,541.302,-9.9941,18,5,-40.906,3
ZZB,523.201,-4.2273,14,4,-22.743,6
ZZA,188.186,0.3135,4,1,3.6908,2
ZZ9,517.518,0.074101,13,5,-51.141,3
ZZ8,179.174,0.8484,4,2,0.49861,1
ZZ7,367.425,-4.2619,8,5,-2.2107,2
ZZ6,367.259,3.7135,5,2,3.599,3
ZZ5,353.405,1.6915,7,3,-4.3005,3
ZZ4,344.204,4.953,5,1,-5.6911,3
ZZ3,156.213,0.6176,4,1,-1.5145,1
ZZ2,183.21,0.3754,5,1,-6.7281,1
ZZ1,160.172,1.5756,2,0,-7.2087,2
ZZ0,248.668,2.6316,4,2,-0.75006,2
ZYZ,404.32,0.5106,7,2,-60.811,1
ZYY,491.542,1.8051,10,1,7.9018,4
ZYX,200.261,-0.1414,4,2,-0.57038,1
ZYW,,,,,,
ZYW,312.17,-0.4535,6,2,3.2673,3
ZYV,,,,,,
ZYV,234.262,-1.0005,7,2,3.6608,3
ZYU,205.22,-7.00E-04,6,1,1.8019,3
ZYU,,,,,,
ZYT,226.323,2.2813,3,2,3.5278,2
ZYT,,,,,,
ZYS,275.375,2.9644,4,2,2.6152,2
ZYR,206.268,1.774,3,1,-0.49913,3
ZYQ,225.271,1.103,5,2,1.8474,2
ZYP,430.459,1.1571,8,2,-0.49222,4
ZYO,538.987,2.2078,11,1,7.9579,5
ZYN,435.882,1.5424,7,1,4.696,3
ZYM,341.362,1.9323,6,2,-14.557,2
ZYL,345.394,2.1244,6,2,-9.7577,2
ZYK,310.305,-2.4152,8,3,0.20174,2
ZYJ,294.306,-0.8312,7,2,0.79838,2
ZYI,278.738,3.8071,4,1,-0.58439,3
ZYH,446.553,3.6,8,0,1.1533,6
ZYG,735.829,0.5709,17,7,-9.4671,3
ZYF,759.851,1.5856,17,6,-15.73,3
ZYE,554.689,3.4666,8,3,5.4139,5
ZYD,416.643,6.3858,3,3,-7.63,3
ZYC,222.239,1.8924,4,1,-8.1635,1
ZYB,154.144,1.4691,3,2,-3.0048,1
ZYA,402.421,1.7565,7,3,-11.422,2
ZY7,308.38,2.9486,4,0,0.85458,3
ZY6,,,,,,
ZY6,309.372,0.4805,6,2,5.0573,4
ZY5,294.353,2.6729,4,1,0.86926,3
ZY4,570.709,1.1674,10,4,1.0136,5
ZY3,580.748,2.2167,9,4,2.841,4
ZY2,607.774,1.5957,10,3,6.6816,5
ZY1,590.743,3.1515,9,3,5.2106,5
ZY0,604.671,5.0322,7,3,-2.6346,5
ZXZ,173.214,1.3836,2,0,-0.92489,2
ZXM,324.124,-0.082,9,4,-8.9652,2
ZXG,623.937,4.1503,5,2,-3.9618,2
ZXD,175.227,-0.8144,4,4,2.4976,1
ZXC,245.266,1.3444,6,2,3.7469,3
ZXB,223.271,-0.0452,4,4,2.8946,2
ZXA,218.252,-2.0787,6,5,4.4073,1
ZX9,362.468,0.7928,6,5,2.623,3
ZX8,320.344,-0.1293,7,5,4.9416,3
ZX7,,,,,,
ZX7,319.36,-0.5415,7,6,5.4407,3
ZX6,333.387,-0.5974,7,6,4.8397,3
ZX6,,,,,,
ZX5,347.413,-0.143,7,6,3.7527,3
ZX5,,,,,,
ZX1,350.395,-4.5356,10,5,4.9305,2
ZX0,350.395,-4.5356,10,5,4.9305,2
ZWZ,176.215,-2.4869,5,5,2.4787,1
ZWI,307.497,-1.7191,4,0,-31.914,0
ZW3,302.313,0.487,7,2,4.9424,3
ZVZ,441.533,2.7151,7,1,2.3076,4
ZVY,428.491,1.6645,7,1,0.84061,4
ZVX,436.457,3.1328,6,1,3.845,3
ZVW,562.562,5.2378,6,1,-1.8926,4
ZVV,464.511,4.0226,6,1,-2.005,3
ZVU,438.448,3.748,5,1,-1.7994,3
ZVT,434.922,3.5372,6,1,3.8971,3
ZVS,468.474,3.7795,6,1,-2.005,3
ZUN,390.395,-0.0143,10,4,8.0128,3
ZUK,195.221,-2.3141,5,2,-17.954,1
ZU5,628.808,3.2724,11,4,-26.906,3
ZU4,303.832,4.6246,2,0,-12.902,2
ZU3,615.769,2.2698,12,5,-14.848,2
ZU0,175.227,-1.9844,4,2,-29.697,0
ZTX,430.51,3.4116,8,2,5.9364,5
ZTW,242.297,3.7055,2,2,0.54794,3
ZTP,722.921,10.815,7,3,-31.489,0
ZTH,280.172,-4.6797,9,4,-12.157,1
ZTD,401.418,0.4973,9,2,5.8681,3
ZT4,310.304,2.7156,5,2,0.5738,4
ZT2,308.288,2.8593,5,1,0.6845,4
ZT0,463.508,2.3769,8,3,1.0378,4
ZSW,511.593,2.7486,9,4,-0.27574,3
ZSV,575.636,2.8767,10,4,-1.7774,4
ZST,419.382,2.9351,6,1,-2.3584,4
ZSP,237.218,-1.0149,8,5,3.5533,2
ZSN,133.107,-2.9165,6,3,1.2169,0
ZSC,273.264,-0.4163,7,2,-6.6095,1
ZS4,417.419,2.3362,9,0,-1.513,5
ZS2,549.565,2.9523,10,5,4.7727,6
ZS0,276.294,1.3153,5,2,2.602,3
ZS0,,,,,,
ZRO,328.245,1.5364,6,3,-7.1654,2
ZRM,320.371,3.0563,4,2,3.7327,4
ZRL,307.171,2.642,3,1,-1.6349,3
ZRK,212.208,1.0779,4,1,2.6093,3
ZRG,286.335,-1.7942,9,6,1.1892,0
ZRA,397.449,-1.3623,9,5,-11.622,1
ZPZ,652.746,1.3265,12,4,-5.3545,4
ZPY,679.768,2.2568,12,3,-2.084,4
ZPX,607.705,1.9375,10,3,1.154,4
ZPR,330.383,1.5787,6,0,-2.4093,3
ZPQ,658.859,1.1038,14,5,-9.5588,1
ZPN,497.63,5.2657,7,2,-9.8352,1
ZPH,329.332,-1.938,6,2,-28.933,1
ZPG,424.572,1.0839,8,2,-7.608,0
ZPE,687.936,7.2953,9,2,-61.995,0
ZPC,388.814,0.7142,9,0,3.3902,4
ZPA,599.656,-2.6699,14,8,0.81786,4
ZP4,836.389,-11.751,29,8,-34.593,5
ZOP,494.637,4.0905,6,2,5.2801,5
ZOO,433.404,3.4067,5,1,-3.8441,3
ZON,212.229,0.4386,5,1,-0.6375,2
ZOM,291.733,2.186,4,1,3.2654,2
ZOL,272.089,-8.0158,9,5,-6.8035,1
ZOF,356.489,1.6897,7,5,-5.852,2
ZOE,373.472,0.1668,8,4,-8.3425,2
ZOD,601.354,-7.4421,20,7,-29.91,4
ZO9,255.28,1.8855,6,1,4.4731,4
ZO8,186.238,1.8876,2,0,-0.81206,3
ZO6,186.238,1.8137,2,0,-0.81206,3
ZO0,310.322,2.6229,4,0,-1.2048,3
ZNP,208.216,-0.1141,5,1,-3.2704,1
ZNN,171.203,-1.05,6,2,-1.8192,0
ZNH,,,,,,
ZNH,626.042,4.491,8,2,-4.1485,8
ZNE,471.704,5.3533,4,3,-2.479,4
ZND,573.966,3.3187,8,2,-1.7791,4
ZND,573.966,2.9439,8,2,-1.7791,8
ZNB,710.509,-2.0309,21,8,-5.9547,6
ZN4,304.841,2.1372,4,1,4.575,1
ZMR,332.312,-4.4784,11,7,0.65505,1
ZMQ,576.733,4.4284,9,3,-47.458,0
ZMP,550.695,3.7718,9,3,-46.38,0
ZMO,604.787,5.3372,9,3,-50.328,0
ZMK,514.531,-2.9543,12,5,-53.411,0
ZMG,252.312,2.3904,3,1,1.6425,2
ZME,199.216,1.9477,5,1,1.3686,3
ZME,,,,,,
ZMA,337.342,1.2155,9,3,3.7716,4
ZM3,681.86,3.0733,12,3,4.5569,2
ZLP,676.785,1.966,14,3,-21.378,5
ZLD,337.35,0.5203,7,1,-2.1658,3
ZKW,315.112,1.3696,6,2,5.1083,2
