CHEM_COMP_ID,SMILES
LZC,c1cc2nc(NC3CCCCC3)ccn2n1
ZIP,c1ncc2nc[nH]c2n1
ES4,c1ncc2nc[nH]c2n1
HH5,c1ncc2[nH]cnc2n1
JYM,c1nc(OCC2CCCCC2)c2nc[nH]c2n1
ATP,c1ncc2ncn([C@@H]3CCCO3)c2n1
ADP,c1ncc2ncn([C@@H]3CCCO3)c2n1
SZL,c1ncc2nc[nH]c2n1
MBP,c1ncc2[nH]cnc2n1
CMG,c1nc(OCC2CCCCC2)c2nc[nH]c2n1
N69,c1nc(OCC2CCCCC2)c2nc[nH]c2n1
207,c1cc2[nH]cnc2c(OCC2CCCCC2)n1
IM9,c1cc(-c2cnc[nH]2)nc(Nc2ccc(N3CCNCC3)cc2)n1
X03,c1n[nH]c2c1CCCC2
Z30,c1n[nH]c2c1CCCC2
Z46,c1n[nH]c2c1CCCC2
HGW,c1cncnc1
HHN,c1cncnc1
CIG,c1cnccn1
X85,c1cncc(CNc2cccc(NCCCN3CCOCC3)c2)c1
8QT,c1cncc(CNc2ncnc3[nH]cnc23)c1
HH8,c1cnc2ncccc2c1
MFR,c1cnc2[nH]cc(-c3ccncn3)c2c1
MHR,c1cnc2[nH]cc(-c3ccncn3)c2c1
D6I,c1ccc(Nc2cc(-n3cnc4ccccc43)ncn2)nc1
R0N,c1cnc(Nc2ccc(SC3CC3)cc2)nc1
FCQ,c1ccc(-c2ccc(CNc3ncnc4c[nH]nc34)cc2)nc1
RC8,c1ccc(-c2ccc(CNc3ncnc4[nH]cnc34)cc2)nc1
LZB,c1cnc2ccnn2c1
LZM,c1cnc2ccnn2c1
26D,c1ccncc1
HEW,c1ccncc1
HHT,c1ccccc1
1Y6,c1ccccc1
ESJ,c1ccc2sc(C3=NCCS3)nc2c1
WG8,c1ccc2nc(C3=NCCS3)ccc2c1
RFZ,c1ccc2c(c1)ncn2[C@H]1CCCO1
TBS,c1ccc2[nH]nnc2c1
LZ1,c1ccc2[nH]ncc2c1
9ZB,c1ccc2c(c1)NCCN2
AEQ,c1ccc2c(c1)CCCN2
HGH,c1ccc(Oc2ncnc3[nH]cnc23)cc1
T2A,c1ccc(Nc2ncc3cnc(-c4ccccc4)n3n2)cc1
HHB,c1ccc(Nc2ccncn2)cc1
FAP,c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1
FCP,c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1
U32,c1ccc(Nc2nccs2)cc1
27Z,c1ccc(Nc2nccs2)cc1
02Z,c1ccc(Nc2nccs2)cc1
3I6,c1ccc(Nc2ncccn2)cc1
6AE,c1ccc(Nc2ncccn2)cc1
CK7,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
T9N,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
16K,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
CK4,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
CK5,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
T3E,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
19K,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
FB8,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
FRT,c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1
P49,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1
ST8,c1ccc(Nc2nccc(OCC3CCCCC3)n2)cc1
4SP,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
N20,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
N76,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
N41,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
55S,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
NU5,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1
2A6,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
6CP,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
0BY,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
FC8,c1ccc(Nc2nc(NC3CCCCC3)nc3[nH]cnc23)cc1
23D,c1ccc(Nc2nc(NC3CCCCC3)nc3[nH]cnc23)cc1
CK8,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
CK6,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
20K,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
18K,c1ccc(Nc2nccc(-c3cncs3)n2)cc1
FRV,c1ccc(Nc2nccc(-c3cncn3C3CC3)n2)cc1
I1P,c1ccc(Nc2nccc(-c3cnc4cccnn34)n2)cc1
HDY,c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1
HDT,c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1
X0A,c1ccc(Nc2ncnc(-c3ccccc3)n2)cc1
