CHEM_COMP_ID,SMILES
01A,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)c1ccccc1
01K,c1ncc2ncn([C@@H]3CCCO3)c2n1
0AF,c1ccc2[nH]ccc2c1
0ET,c1ncc2ncn([C@H]3CCCO3)c2n1
0HG,c1ccccc1
0UM,c1ncc2ncn([C@H]3CCCO3)c2n1
0WD,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@@H](N2C=CCC=C2)O1
0XU,C=C1CC[C@H](n2cnc3cncnc32)O1
0Y0,c1ncc2ncn([C@H]3CCCO3)c2n1
0Y1,c1ccc2c(CCNC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)c[nH]c2c1
0Y2,c1ccc2c(CCNC[C@H]3CC[C@@H](n4cnc5cncnc54)O3)csc2c1
18W,O=C1C=CC(=Cc2ccc[nH]2)N1
1C4,c1ncc2ncn([C@H]3CCCO3)c2n1
1CV,c1ncc2ncn([C@H]3CCCO3)c2n1
1CZ,c1ncc2ncn([C@H]3CCCO3)c2n1
1DG,O=C(c1ccncc1)C1C=CN([C@@H]2CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)O2)C=C1
1HA,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccc2ccccc2c1
1JO,c1ccccc1
1JP,c1ccccc1
1R4,c1ccccc1
1TP,c1ncc(CN2CCSC2)cn1
1TY,O=C1C=CC(=NCCc2ccccc2)C=C1
1U0,c1ncc(Cc2ccsc2)cn1
1VU,c1ncc2ncn([C@H]3CCCO3)c2n1
1XE,c1coc(-n2cnc3cncnc32)c1
1YJ,O=c1[nH]cnc2c1N[C@@H](CNc1ccccc1)CN2
29P,O=C1C=C[C@H](Cc2ccc[nH]2)N1
2CP,c1ncc2ncn([C@H]3CCCO3)c2n1
2MD,O=c1[nH]cnc2c1N[C@@H]1CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5c(=O)[nH]cnc54)O3)O[C@@H]1N2
2NE,O=C(CCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccccc1
2TP,c1ncc(C[n+]2ccsc2)cn1
2TY,C(Cc1ccccc1)=Nc1ccccc1
36A,c1ccc(CNc2ncnc3c2ncn3[C@H]2CCCO2)cc1
37H,c1ncc2ncn([C@@H]3CCCO3)c2n1
3AA,O=[PH](OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1
3CD,O=[PH](OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@H]([n+]2ccccc2)O1
3CP,c1ncc2ncn([C@H]3CCCO3)c2n1
3H9,c1ncc2ncn([C@H]3CCCO3)c2n1
3HC,c1ncc2ncn([C@H]3CCCO3)c2n1
48T,c1ccc(-c2ccccc2)cc1
4AB,c1ncc2c(n1)NCCN2
4CA,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCc1ccccc1
4CO,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)c1ccccc1
4IK,c1ncc2ncn([C@@H]3CCCO3)c2n1
4LS,O=c1[nH]c2c(c(=O)[nH]1)Nc1ccccc1N2
4LU,O=c1[nH]c2c(c(=O)[nH]1)[N+]1=CCCc3cccc(c31)N2
4YP,O=C1C=CC(=O)C=C1
5AU,c1ccccc1
5GY,c1ncc(C[n+]2ccsc2)cn1
62X,c1ncc2ncn([C@H]3CCCO3)c2n1
6FA,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1
6HE,C1=c2ccc3n2[Fe]24n5c1ccc5C=c1ccc(n12)=Cc1ccc(n14)C=3
6NR,c1ncc2ccn([C@@H]3CCCO3)c2n1
6V0,O=[PH](OC[C@@H]1CC[C@@H](N2C=CC=CC2)O1)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1
76H,c1ncc2ncn([C@@H]3CCCO3)c2n1
76J,c1ncc2ncn([C@@H]3CCCO3)c2n1
76K,c1ncc2ncn([C@@H]3CCCO3)c2n1
76L,c1ncc2ncn([C@@H]3CCCO3)c2n1
76M,c1ncc2ncn([C@@H]3CCCO3)c2n1
7AP,c1cnc2ncncc2n1
7HE,C1=c2ccc3n2[Fe]24n5c1ccc5C=c1ccc(n12)=Cc1ccc(n14)C=3
8EF,C=C1CSCN1Cc1cncnc1
8EL,C1=CN(Cc2cncnc2)CS1
8EO,C1=[N+](Cc2cncnc2)CSC1
8FL,C1=CN(Cc2cncnc2)CS1
8ID,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@H]([n+]2ccccc2)O1
8JD,c1ncc2ncn([C@@H]3CCCO3)c2n1
8PA,C(=Cc1cccnc1)Cc1scc[n+]1Cc1cncnc1
8Z2,c1ncc2ncn([C@H]3CCCO3)c2n1
A3D,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
ABY,c1ccccc1
ACO,c1ncc2ncn([C@H]3CCCO3)c2n1
AGQ,N=C1C=CC(=O)C=C1
AMX,c1ncc2ncn([C@H]3CCCO3)c2n1
AP0,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@H](N2C=CCC=C2)O1
ASC,O=C1C=CCO1
AT5,O=c1cccc[nH]1
ATA,c1ncncn1
