,CHEM_COMP_ID,SMILES
0,SU0,CC(N)=O
1,SU0,c1ccccc1
2,SU0,CCC(=O)Nc1ccc(S(N)(=O)=O)cc1
3,SU0,CC(N)=O
4,SU0,c1ccccc1
5,SU0,CCC(=O)Nc1ccc(S(N)(=O)=O)cc1
6,X0T,c1c[nH]cn1
7,X0T,c1ncc2[nH]cnc2n1
8,X0T,c1cncnc1
9,CBL,c1ccccc1
10,8CL,c1ccccc1
11,617,CC(N)=O
12,617,c1ccccc1
13,617,COCC(=O)Nc1ccccc1
14,245,c1ccccc1
15,245,c1ccncc1
16,ETY,c1ccccc1
17,LPB,C1CSSC1
18,LEU,NCC=O
19,X8Z,CC(N)=O
20,X8Z,NCC=O
21,X8Z,CN1CCC[C@@H]1CO
22,3NF,CC(N)=O
23,3NF,NCC=O
24,3NF,c1ccccc1
25,B21,c1ccoc1
26,B21,c1ccccc1
27,AAC,CC(N)=O
28,AAC,NCC=O
29,2BR,c1ccccc1
30,791,c1ccccc1
31,LOC,CC(N)=O
32,LOC,c1ccccc1
33,IPB,c1ccccc1
34,MOA,c1ccccc1
35,TOR,OC1CCCCO1
36,OAM,c1c[nH]cn1
37,OAM,c1cn[nH]c1
38,AXC,c1ccc2[nH]cnc2c1
39,AXC,c1c[nH]cn1
40,AXC,c1ccccc1
41,AXC,c1cncnc1
42,AXC,c1ccc2ncncc2c1
43,MET,NCC=O
44,IJZ,c1cncnc1
45,CCM,C1CCCC1
46,ZIT,OC1CCCCO1
47,MRE,c1ccccc1
48,MPX,c1ccccc1
49,MPX,C1CNCCN1
50,CT5,c1ccccc1
51,CT5,c1cn[nH]c1
52,GHP,NCC=O
53,GHP,c1ccccc1
54,TSS,c1ccc2[nH]ccc2c1
55,TSS,c1ccccc1
56,TSS,c1cc[nH]c1
57,FSB,CC(N)=O
58,FSB,c1ccccc1
59,FSB,CNC(=O)c1ccc(S(N)(=O)=O)cc1
60,24B,c1ccccc1
61,IDM,c1ccccc1
62,HYN,O=C1CNC(=O)N1
63,HYN,CC(N)=O
64,HYN,NCC=O
65,SHH,CC(N)=O
66,SHH,c1ccccc1
67,ES2,CC(N)=O
68,ES2,c1ccccc1
69,278,c1cc[nH]c1
70,ENO,c1ccccc1
71,SET,CC(N)=O
72,SET,NCC=O
73,NIX,c1ccncc1
74,SHA,CC(N)=O
75,SHA,c1ccccc1
76,PFP,c1ccoc1
77,PFP,c1ccccc1
78,PFP,c1cncnc1
79,4G2,c1c[nH]cn1
80,4G2,c1ccccc1
81,BMD,CC(N)=O
82,C1M,c1ccccc1
83,ES6,c1ccncc1
84,4CH,c1ccccc1
85,TPR,NCC=O
86,TPR,c1ccccc1
87,TPR,CCN(CC)S(=O)(=O)c1ccc(C)cc1
88,GLC,OC1CCCCO1
89,NTM,c1ccncc1
90,SAN,c1ccccc1
91,URB,c1cncnc1
92,URB,O=c1[nH]cc(Br)c(=O)[nH]1
93,URB,Brc1cncnc1
94,CRN,NCC=O
95,EPT,c1ccccc1
96,PZO,c1cn[nH]c1
97,6PC,c1ccncc1
98,CT0,CC(N)=O
99,CT0,C1CCCC1
100,CT0,NCC=O
101,CT0,c1cscn1
102,FTE,c1ccccc1
103,9DN,CC(N)=O
104,9DN,c1ccc2ccccc2c1
105,9DN,NCC=O
106,9DN,c1ccccc1
107,AXX,CC(N)=O
108,AXX,C1CC1
109,AXX,c1ccsc1
110,AXX,CC(=O)Nc1cc(C)c(C)s1
111,3BZ,c1ccccc1
112,N23,CC(N)=O
113,N23,c1ccc2[nH]ccc2c1
114,N23,c1ccccc1
115,N23,c1cc[nH]c1
116,N23,c1ccsc1
117,PXL,c1ccncc1
118,DEX,C1CCCCC1
119,DEX,C1CCCC1
120,DEX,C1~C~C~C2~C(~C~1)~C~C~C1~C3~C~C~C~C~3~C~C~C~2~1
121,43M,c1ccccc1
122,B95,CC(N)=O
123,B95,c1ccc2[nH]cnc2c1
124,B95,c1c[nH]cn1
125,B95,c1ccccc1
126,TYR,NCC=O
127,TYR,c1ccccc1
128,Z82,c1ccccc1
129,BSB,CC(N)=O
130,BSB,c1ccccc1
131,BSB,CNC(=O)c1ccc(S(N)(=O)=O)cc1
132,ICC,CC(N)=O
133,1AC,C1CC1
134,1AC,NCC=O
135,EHD,c1ccccc1
136,EHD,c1ccncc1
137,EHD,c1ccc2ncccc2c1
138,EHD,c1ccc(-c2ccccn2)nc1
139,BZB,c1ccc2sccc2c1
140,BZB,c1ccccc1
141,BZB,c1ccsc1
142,0PA,C1CCCC1
143,PDC,c1ccncc1
144,ANG,c1c[nH]cn1
145,ANG,c1ncc2[nH]cnc2n1
146,ANG,c1cncnc1
147,HID,c1ccc2[nH]ccc2c1
148,HID,c1ccccc1
149,HID,c1cc[nH]c1
150,JZ2,c1ccccc1
151,3A3,c1ccccc1
152,KLT,CC(N)=O
153,KLT,c1ccccc1
154,KLT,CC(O)c1ccc(Cl)cc1
155,ES3,c1c[nH]cn1
156,IPH,c1ccccc1
157,FU2,c1ccoc1
158,2PM,c1ccccc1
159,DCY,NCC=O
160,TNL,c1ccccc1
161,BNF,c1ccccc1
162,TCZ,c1ccccc1
163,GMN,c1ccccc1
164,5CH,c1ccccc1
165,5CH,c1ccncc1
166,5CH,c1ccc(-c2cccnc2)nc1
167,268,c1ccccc1
168,1IQ,CC(N)=O
169,1IQ,NCC=O
170,1IQ,c1ccccc1
171,1IQ,c1ccncc1
172,1IQ,c1ccc2ncccc2c1
173,ARW,OC1CCCCO1
174,5OB,c1ccc2[nH]cnc2c1
175,5OB,c1c[nH]cn1
176,5OB,c1ccccc1
177,HAE,CC(N)=O
178,4HP,c1ccccc1
179,2CH,c1ccccc1
180,ZZ8,CC(N)=O
181,ZZ8,c1ccccc1
182,XAN,c1c[nH]cn1
183,XAN,c1ncc2[nH]cnc2n1
184,XAN,c1cncnc1
185,TYL,CC(N)=O
186,TYL,c1ccccc1
187,LSA,CC(N)=O
188,LSA,c1ccccc1
189,AHC,c1ccccc1
190,G14,c1c[nH]cn1
191,G14,c1ccccc1
192,AMR,CC(N)=O
193,AMR,c1cnccn1
194,BA1,CC(N)=O
195,BA1,c1ccccc1
196,MLL,NCC=O
197,FLU,c1ccccc1
198,DNC,c1ccccc1
199,B48,c1cn[nH]c1
200,B48,c1cscn1
201,B48,c1ccsc1
202,GMP,c1c[nH]cn1
203,GMP,c1ncc2[nH]cnc2n1
204,GMP,c1cncnc1
205,GMP,OCC1OCC(O)C1O
206,3QO,c1ccccc1
207,3QO,c1ccncc1
208,MHA,CC(N)=O
209,MHA,NCC=O
210,MEU,NCC=O
211,738,CC(N)=O
212,738,c1ccccc1
213,738,c1ccsc1
214,738,CC(=O)Nc1cc(C)c(C)s1
215,NIZ,CC(N)=O
216,NIZ,c1ccncc1
217,B53,c1cncnc1
218,3HP,c1ccccc1
219,HC4,c1ccccc1
220,BCN,NCC=O
221,JNZ,c1ccccc1
222,JNZ,c1cn[nH]c1
223,X0W,c1ccc2scnc2c1
224,X0W,c1ccccc1
225,X0W,c1cscn1
226,20E,C1~C~C~C2~C(~C~1)~C~C~C1~C3~C~C~C~C~3~C~C~C~2~1
227,20E,C1CCCCC1
228,20E,C1CCCC1
229,4NC,c1ccccc1
230,L13,c1ccccc1
231,XAV,c1ccccc1
232,XAV,c1cncnc1
233,AF,c1ccccc1
234,D3M,c1ccccc1
235,34C,c1ccccc1
236,34C,CCOc1ccc(CC(=O)O)cc1
237,TOP,c1ccccc1
238,TOP,c1cncnc1
239,EMU,Nc1ncnc2nc[nH]c12
240,EMU,c1c[nH]cn1
241,EMU,c1ccccc1
242,EMU,c1ncc2[nH]cnc2n1
243,EMU,c1cncnc1
244,CBW,C1CCCCC1
245,1MR,c1ccccc1
246,MMA,OC1CCCCO1
247,NLG,CC(N)=O
248,NLG,NCC=O
249,80G,c1ccccc1
250,80G,c1ccsc1
251,2HT,c1ccccc1
252,IBM,c1c[nH]cn1
253,IBM,c1ncc2[nH]cnc2n1
254,IBM,c1cncnc1
255,BZZ,c1ccccc1
256,PNV,CC(N)=O
257,PNV,O=C1CC2SCCN12
258,PNV,NCC=O
259,PNV,c1ccccc1
260,APZ,c1ccccc1
261,APZ,c1ccc2cnncc2c1
262,APZ,c1ccnnc1
263,ET,c1ccc2cnccc2c1
264,ET,c1ccc2c(c1)cnc1ccccc12
265,ET,c1ccccc1
266,ET,c1ccncc1
267,ET,c1ccc2ncccc2c1
268,9CA,c1ccc2c(c1)[nH]c1ccccc12
269,9CA,c1ccc2[nH]ccc2c1
270,9CA,c1ccccc1
