CHEM_COMP_ID,SMILES
SU0,O=C(Cc1cc(=O)oc2ccccc12)Nc1ccccc1
SU0,O=C(Cc1cc(=O)oc2ccccc12)Nc1ccccc1
TRI,c1nnc[nH]1
X0T,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
CBL,c1ccccc1
8CL,c1ccccc1
617,O=C(COc1ccccc1)Nc1ccccc1
245,O=C(Nc1ccccc1)Nc1ccncc1
ETY,c1ccccc1
LPB,C1CSSC1
X8Z,C1CCNC1
3NF,c1ccccc1
B21,c1ccc(-c2ccco2)cc1
2BR,c1ccccc1
791,c1ccccc1
LOC,O=c1cccc2c(c1)CCCc1ccccc1-2
IPB,c1ccccc1
MOA,O=C1OCc2ccccc21
TOR,C1O[C@H]2COC3OCO[C@@H]3[C@H]2O1
OAM,c1cn(CCCn2cnnc2-c2cn[nH]c2)cn1
AXC,c1ccc2[nH]c(CSc3nc4ccccc4c4ncnn34)nc2c1
IJZ,O=c1cc[nH]c(=O)[nH]1
CCM,C1CCCC1
ZIT,O=C1C[C@@H](O[C@@H]2CCCCO2)C[C@H](O[C@H]2CCCCO2)CCCCNCCCCO1
DQN,O=C1C=CC(=O)C=C1
MRE,c1ccc(N=Nc2ccccc2)cc1
MPX,S=C(Nc1ccccc1)NN1CCNCC1
CT5,c1ccc(-c2[nH]ncc2-c2ccc3c(c2)OCCO3)cc1
GHP,c1ccccc1
TSS,c1ccc2[nH]ccc2c1
FSB,O=C(NCc1ccccc1)c1ccccc1
24B,c1ccccc1
IDM,c1ccc2c(c1)CCN2
HYN,O=C1CNC(=O)N1
SHH,c1ccccc1
ES2,O=C1Cc2ccccc2N1
278,c1cc[nH]c1
ENO,c1ccccc1
TNE,O=C1C[C@@H]2CC[C@H](C1)N2
NIX,O=c1cc[nH]c2ncccc12
SHA,c1ccccc1
PFP,c1ccc(-c2oc3ncncc3c2-c2ccccc2)cc1
4G2,c1ccc(-c2ncc[nH]2)cc1
C1M,c1ccc(-n2cnnn2)cc1
ES6,O=c1cccc[nH]1
4CH,c1ccccc1
TPR,O=S(=O)(c1ccccc1)N1CCCC1
GLC,C1CCOCC1
NTM,c1ccncc1
SAN,c1ccccc1
URB,O=c1cc[nH]c(=O)[nH]1
EPT,c1ccccc1
PZO,c1cn[nH]c1
6PC,c1ccncc1
CT0,O=C(Nc1nccs1)C(=O)NC1CCCC1
FTE,c1ccccc1
9DN,c1ccc2ccccc2c1
AXX,O=C(Nc1cc2c(s1)CCCC2)C1CC1
3BZ,c1ccccc1
N23,O=C(NCCc1c[nH]c2ccccc12)c1cccs1
PXL,c1ccncc1
DEX,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@@H]21
43M,c1ccccc1
B95,O=C(COc1ccccc1)NCCc1nc2ccccc2[nH]1
TYR,c1ccccc1
Z82,c1ccccc1
BSB,O=C(NCc1ccccc1)c1ccccc1
ICC,O=C1CCCCCN1
1AC,C1CC1
EHD,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3
BZB,c1ccc2sccc2c1
0PA,C1CCCC1
PDC,c1ccncc1
ANG,O=c1[nH]cnc2[nH]cnc12
HID,c1ccc2[nH]ccc2c1
JZ2,c1ccccc1
3A3,N=C1c2ccccc2-c2ccccc21
KLT,O=C1NC(c2ccccc2)c2ccccc21
ES3,c1c[nH]cn1
IPH,c1ccccc1
FU2,c1ccoc1
2PM,c1ccc(Cc2ccccc2)cc1
TNL,c1ccccc1
BNF,c1ccccc1
TCZ,c1ccccc1
GMN,c1ccccc1
5CH,c1ccc(-c2cccnc2-c2cccnc2)cc1
268,c1ccccc1
1IQ,O=C1CN=C(c2ccc3ccccc3n2)N1
ARW,C1CCOCC1
5OB,c1ccc2[nH]cnc2c1
4HP,c1ccccc1
2CH,c1ccccc1
ZZ8,c1ccccc1
XAN,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
TYL,c1ccccc1
LSA,O=C1NS(=O)(=O)c2ccccc21
TOF,O=c1nc2[nH]ncnc-2c(=O)[nH]1
AHC,c1ccccc1
G14,c1ccc(-c2ncc[nH]2)cc1
AMR,c1cnccn1
BA1,O=C(N[C@H]1CNCCC[C@H]1OC(=O)c1ccc(C(=O)c2ccccc2)cc1)c1ccccc1
FLU,O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1
DNC,c1ccccc1
B48,c1csc(-c2ncc(-c3ccn[nH]3)s2)c1
GMP,O=c1[nH]cnc2c1ncn2[C@@H]1CCCO1
3QO,c1ccc(Cc2ccncc2)cc1
738,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1
NIZ,c1ccncc1
B53,O=c1ccnc[nH]1
3HP,c1ccccc1
HC4,c1ccccc1
JNZ,c1ccc2[nH]ncc2c1
MIG,C1CCNCC1
X0W,c1ccc2scnc2c1
20E,O=C1C=C2C3CCCC3CC[C@H]2C2CCCC[C@@H]12
4NC,c1ccccc1
L13,S=c1[nH]nc(-c2ccccc2)[nH]1
XAV,c1ccc(-c2ncc3c(n2)CCSC3)cc1
AF,c1ccc2c(c1)Cc1ccccc1-2
D3M,c1ccccc1
34C,c1ccccc1
TOP,c1ccc(Cc2cncnc2)cc1
EMU,c1ccc(CNc2ncnc3[nH]cnc23)cc1
CBW,O=C1C=C2C(CCC3CCCC[C@H]23)C2CC[C@@H]3CCCCC3[C@@H]12
1MR,c1ccccc1
MMA,C1CCOCC1
80G,c1ccc(-c2cccs2)cc1
2HT,c1ccccc1
IBM,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
BZZ,c1ccccc1
PNV,O=C(COc1ccccc1)N[C@H]1C(=O)N2CCS[C@@H]12
FU1,C1CCOC1
APZ,O=c1[nH][nH]c(=O)c2ccccc12
ET,c1ccc(-c2[nH+]c3ccccc3c3ccccc23)cc1
9CA,c1ccc2c(c1)[nH]c1ccccc12
HNQ,c1ccc2ncccc2c1
SAK,O=C1C[C@H](c2ccccc2)Oc2ccccc21
537,O=C1c2ccccc2-c2n[nH]c3cccc1c23
SS1,c1ccccc1
147,c1ccc(O[C@@H]2CCCCO2)cc1
4WF,O=c1ccn(Cc2ccccc2)c(=O)[nH]1
4M0,c1ccccc1
31F,O=c1[nH]c(-c2ccccc2)nc2ccccc12
B3W,c1ccccc1
IBK,c1csc(-c2ccno2)c1
O4B,C1COCCOCCOCCOCCOCCO1
P9L,O=C1NCc2cc(S(=O)(=O)N3CCOCC3)ccc2N1
PKJ,O=C(CSc1nnc2scc(-c3ccccc3)n12)Nc1ccc2c(c1)OCO2
RT0,c1ccc(-c2cn([C@H]3CCNC3)nn2)cc1
SE2,O=c1ccc2ccccc2o1
UWU,O=c1cc(-c2ccccc2)c2ccccc2o1
XZZ,O=c1ccc2ccccc2o1
1GD,O=C(Cc1ccccc1)NCc1ccccc1
1ON,O=C1CCc2ccccc21
ZO0,c1ccc2c(N3CCCNCC3)ncnc2c1
04T,c1ccc(Nc2ccccc2)cc1
1RV,O=C(CSc1ncn[nH]1)Nc1cccs1
2C0,c1ccccc1
28E,c1ccc([C@H]2CCc3ccccc3O2)cc1
2HO,c1ccccc1
1XS,c1ccc(-c2ccco2)cc1
25F,O=c1[nH]c(-c2ccccc2)nc2ccccc12
25O,c1ccc(-c2ccnc3ncnn23)cc1
2HQ,O=C1Nc2ccccc2C1=O
2HV,O=C(Nc1ccccc1N1CCCCC1)c1cscn1
2LW,c1ccc2c3c([nH]c2c1)CCNC3
5CU,O=c1cc[nH]c(=O)[nH]1
D44,O=C(CSc1nc2cccnc2[nH]1)Nc1ccccc1
F70,O=c1cc(-c2ccccc2)oc2ccccc12
HRO,O=c1cc[nH]c(=O)[nH]1
J2T,c1cc2c(cc1Nc1ccc3nnnn3n1)CCC2
OHB,c1ccccc1
A73,O=c1cc(-c2ccccc2)oc2ccccc12
3VY,c1ccc2[nH]ccc2c1
UP8,c1ccccc1
5YQ,c1ccc(-c2ccnc(NCc3cccnc3)n2)nc1
45M,O=C(NNC1=NCCC1)c1ccccc1
5LR,O=S1(=O)N=C(NCCCN2CCc3ccccc3C2)C=C1c1ccccc1
D8S,c1ccc2c(c1)ccc1ccsc12
80Q,c1ccc(OC2CCNCC2)nc1
5D1,O=C(CCCOc1cc(=O)[nH]c2ccccc12)NCC1CCN(Cc2ccccc2)CC1
3O6,O=C(Nc1ccccc1)Nc1[nH]ncc1-c1ccccc1
W77,O=C(Nc1cccnc1)c1ccccc1
ERH,c1ccccc1
5XB,C1CSCN1
6WT,c1ccc(Cc2ccccc2)cc1
70S,c1ccc2n[nH]cc2c1
71A,c1ccncc1
7MU,c1ccncc1
70T,c1ccc2[nH]ccc2c1
71B,c1ccccc1
FGZ,c1ccccc1
6UW,O=C1c2ccccc2CN1Cc1ccccc1
6X8,c1ccccc1
71G,c1ccccc1
