"SMILES","COUNT(*)"
"c1ccccc1",18122
"CC(N)=O",10404
"NCC=O",5753
"c1cncnc1",5474
"c1ccncc1",4450
"c1c[nH]cn1",3266
"O=P(O)(O)O",2716
"c1cc[nH]c1",2074
"c1cn[nH]c1",1804
"C1CCCCC1",1782
"c1ncc2[nH]cnc2n1",1635
"OCC1OCC(O)C1O",1384
"OC1CCCCO1",1329
"Nc1ncnc2nc[nH]c12",1073
"c1ccsc1",1017
"c1ccc2[nH]ccc2c1",1001
"c1cscn1",979
"C1CNCCN1",978
"C1CCCC1",878
"c1ccc2ccccc2c1",808
"c1ccc2ncccc2c1",804
"C1CC1",769
"c1ccc2[nH]cnc2c1",628
"OCC1OCCC1O",522
"c1ccc2ncncc2c1",517
"c1ccoc1",465
"c1cnccn1",459
"c1cnoc1",346
"OC1CCCO1",286
"c1ccnnc1",239
"c1ccc2scnc2c1",214
"c1ccc2cnccc2c1",213
"C1~C~C~C2~C(~C~1)~C~C~C1~C3~C~C~C~C~3~C~C~C~2~1",205
"c1cocn1",172
"c1ccc2nccnc2c1",156
"C1=CCNC1",127
"c1ccc2sccc2c1",115
"C1~C~C2~C~C3~C~C~C(~C~C4~C~C~C(~C~C5~C~C~C(~C~C~1~N~2)~N~5)~N~4)~N~3",104
"C1CCC1",104
"c1ccc2c(c1)CCCO2",101
"c1ccc2c(c1)CCO2",81
"c1nncs1",77
"c1cnc2ncncc2n1",71
"c1ccc2c(c1)[nH]c1ccccc12",68
"c1ncon1",64
"c1ccc2ocnc2c1",62
"C1=NCCC1",61
"O=C1CCC(=O)N1",59
"O=C1CNC(=O)N1",57
"Oc1ncnc2nc[nH]c12",52
"c1ccc2c(c1)ccc1ccccc12",48
"C1=CNCC1",46
"Nc1nc(O)c2[nH]cnc2n1",44
"c1ccc2nc3ccccc3cc2c1",40
"c1ccc2cnncc2c1",39
"c1cnon1",36
"c1cnc2c(c1)ccc1cccnc12",30
"c1ccc2nc3ccccc3nc2c1",25
"C1=Cc2ccccc2OC1",23
"c1ccc2c(c1)Cc1ccccc1O2",21
"c1cnc2cccnc2c1",16
"c1ccc2c(c1)cnc1ccccc12",15
"O=C1CC2SCCN12",15
"c1ccc2c(c1)Nc1ccccc1S2",11
"C1=Nc2ccccc2SN1",11
"OCC(O)CO[PH](O)(O)O",9
"c1ccc2nnccc2c1",8
"c1ccc2c(c1)oc1ccccc12",7
"O=C1COC(=O)N1",7
"c1c[nH]c(Cc2ccc(Cc3ccc(Cc4ccc[nH]4)[nH]3)[nH]2)c1",6
"C1CSSC1",6
"C1=c2ccc([nH]2)=Cc2ccc([nH]2)C=c2ccc([nH]2)=Cc2ccc1[nH]2",6
"NC1CC(=O)NC1=O",5
"Nc1nc(O)c2nccnc2n1",3
"c1ccc2c(c1)CC1NCCC23CCCCC13",3
"c1ccc2c(c1)sc1ccccc12",3
"c1ccc2c(c1)ccc1ccncc12",2
"C1=COC=CC1",1
"Oc1nc(O)c2nc3ccccc3nc2n1",1
"OC1NC2CSCC2N1",1
"C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)CC4)[nH]3",1
