"SMILES","COUNT(*)"
"c1ccccc1",1929
"C1CCOCC1",559
"c1ncc2ncn([C@H]3CCCO3)c2n1",256
"c1ccncc1",238
"c1ncc2ncn([C@@H]3CCCO3)c2n1",227
"C1CCCCC1",221
"c1ccc(-c2ccccc2)cc1",176
"c1ccc2[nH]ccc2c1",166
"c1ccc2ccccc2c1",129
"O=c1ccn([C@H]2CCCO2)c(=O)[nH]1",116
"O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1",115
"C1CCNC1",105
"C1CCOC1",99
"c1ccc(Oc2ccccc2)cc1",86
"c1ccc2ncccc2c1",80
"O=c1ncccn1[C@H]1CCCO1",76
"C1CCNCC1",75
"O=c1[nH]cnc2c1ncn2[C@@H]1CCCO1",75
"c1c[nH]cn1",71
"O=c1cc[nH]c(=O)[nH]1",62
"c1ccc2[nH]cnc2c1",62
"O=c1ncccn1[C@@H]1CCCO1",61
"C1=CCCCC1",56
"c1ccc(Cc2ccccc2)cc1",53
"c1cncnc1",51
"c1ccc2scnc2c1",49
"O=c1cc(-c2ccccc2)oc2ccccc12",46
"c1ccc(Nc2ccccc2)cc1",44
"O=C(Nc1ccccc1)c1ccccc1",42
"O=C(NCc1ccccc1)c1ccccc1",42
"c1ccsc1",41
"O=c1[nH]cnc2[nH]cnc12",41
"c1cscn1",40
"C1CCCC1",40
"O=C1NC=NC1=Cc1ccccc1",40
"c1ccc(COc2ccccc2)cc1",38
"O=c1ccc2ccccc2o1",37
"c1ncc2nc[nH]c2n1",37
"c1cc[nH+]cc1",36
"C(=Cc1ccccc1)c1ccccc1",36
"c1ccc2c(c1)CCNC2",35
"O=c1[nH]cnc2c1ncn2[C@H]1CCCO1",34
"C1=COCCC1",34
"c1ccc(-n2cccn2)cc1",32
"O=c1[nH]c(-c2ccccc2)nc2ccccc12",31
"c1ncc(C[n+]2ccsc2)cn1",30
"O=c1ccc2ccccc2[nH]1",28
"O=C1CCCN1",27
"C1CO1",27
"O=C1c2ccccc2C(=O)c2ccccc21",26
"c1cn[nH]c1",25
"c1ccc2sccc2c1",25
"O=C(Nc1ccccc1)Nc1ccccc1",25
"c1c[nH]nn1",25
"O=C(c1ccccc1)c1ccccc1",23
"c1ccoc1",23
"c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1",23
"O=C1C=CC(=O)C=C1",23
"C1CC[C@@H](O[C@@H]2CCCOC2)OC1",23
"c1ccc(N=Nc2ccccc2)cc1",22
"c1ccc2[nH]ncc2c1",22
"c1c[nH+]c[nH]1",22
"c1ccc2c(c1)CCC2",21
"C1CC1",21
"O=c1[nH]cc(CCc2ccccc2)c(=O)[nH]1",20
"c1cc[nH]c1",19
"c1ccc(-c2cccs2)cc1",19
"c1ccc2cnccc2c1",19
"C=C1CCCCC1=CC=C1CCCC2CCC[C@H]12",18
"O=S(=O)(Nc1ccccc1)c1ccccc1",18
"c1ccc(O[C@@H]2CCCCO2)cc1",18
"C1CNCCN1",17
"c1ccc(-c2ccco2)cc1",17
"c1ccc(CCc2ccccn2)cc1",17
"O=C1CCCO1",17
"c1ccc2ncncc2c1",16
"c1ccc(-c2cc[nH]n2)cc1",16
"c1ccc(-c2cscn2)cc1",16
"O=c1nccc[nH]1",16
"O=c1ccn([C@H]2CC[C@H](CO[PH](=O)O[PH](=O)O[C@H]3CCCCO3)O2)c(=O)[nH]1",16
"c1ccc(-c2cccnc2)cc1",16
"O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1",15
"O=C(c1ccccc1)c1cnc(Nc2ccccc2)s1",15
"c1cnoc1",15
"c1ccc(Nc2ncnc3ccccc23)cc1",15
"C1COCCN1",15
"c1ccc(-c2nc3ccccc3[nH]2)cc1",15
"C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2",15
"c1ccc(OCc2ccc3cccnc3c2)cc1",15
"O=C1C=CC(=O)c2ccccc21",15
